% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.620900000000e+002) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
448 0 +4.909023531e+002 +5.685623531e+002 +5.685623531e+002 -6.2585e-001 -3.2409e+000 +2.2035e-001 -1.3866e-001 +3.9588e-001 -2.1052e+000 -1.8817e+000 -6.6796e-001 -1.8933e+000 -1.4314e+000 +1.6337e+000 +2.0386e-001 -9.2686e-001 +2.1135e+000 +1.5558e+000 +8.0185e-001 -3.0809e+000 -3.5046e+000 +2.6696e+000 -5.0000e+000
466 0 +4.301478004e+002 +5.078078004e+002 +5.078078004e+002 -6.9787e-001 -2.7030e+000 -1.1668e+000 +4.7498e-001 -1.2373e+000 -1.8652e+000 -1.4528e+000 -6.2732e-001 -7.7404e-001 -1.6015e+000 +1.9800e+000 +1.5795e+000 -1.6213e+000 +1.1042e+000 +2.7229e+000 +7.3734e-001 -1.7301e+000 -2.5778e+000 +2.2767e+000 -9.8796e-001
939 0 +3.738530307e+002 +4.515130307e+002 +4.515130307e+002 -3.7930e-001 -2.7505e+000 -1.3488e+000 +6.9522e-001 -1.0261e+000 -1.6994e+000 -9.4035e-001 -9.0146e-001 -7.9482e-001 -2.1270e+000 +2.3648e+000 +1.7861e+000 -1.7194e+000 +1.6497e+000 +2.9001e+000 +1.1589e+000 -1.6273e+000 -2.9632e+000 +2.8389e+000 -2.7175e+000
1253 0 +3.693033108e+002 +4.469633108e+002 +4.469633108e+002 -7.7400e-001 -2.6404e+000 -1.1813e+000 +6.6802e-001 -8.0255e-001 -1.8682e+000 -1.2125e+000 -9.1931e-001 -1.1281e+000 -2.0880e+000 +2.0404e+000 +1.8223e+000 -1.8677e+000 +1.1358e+000 +2.9363e+000 +8.1166e-001 -1.6900e+000 -2.6145e+000 +2.3503e+000 -3.3458e+000
1841 0 +3.578614610e+002 +4.355214610e+002 +4.355214610e+002 -8.3895e-001 -2.6318e+000 -6.9989e-001 +1.4958e+000 +1.7262e-001 -2.9379e+000 -1.0701e+000 -1.5434e+000 -1.7085e+000 -1.7744e+000 +2.6349e+000 +8.5361e-001 -1.5193e+000 +1.1517e+000 +3.0408e+000 +1.3677e+000 -2.0764e+000 -2.7284e+000 +1.5437e+000 -3.7091e+000
2840 0 +3.115615015e+002 +3.892215015e+002 +3.892215015e+002 -7.7896e-001 -2.7260e+000 -1.2779e+000 +8.7361e-001 -6.7761e-001 -1.9118e+000 -1.2276e+000 -7.5134e-001 -1.2059e+000 -1.9788e+000 +2.2525e+000 +1.7473e+000 -1.8153e+000 +9.1546e-001 +3.0283e+000 +8.7905e-001 -1.9129e+000 -2.7130e+000 +2.4788e+000 -3.1729e+000
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.156800000000e+002) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.938743300e+002 +8.095543300e+002 +8.095543300e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
900 0 +6.459244302e+002 +7.616044302e+002 +7.616044302e+002 -1.2704e+000 -5.7092e-001 -1.2522e+000 +2.0013e+000 -5.3386e-001 -5.6454e-001 +2.5969e+000 +1.9125e+000 -1.2511e+000 +6.6975e-001 -8.9715e-002 +1.2457e-001 +5.9949e-001 -5.4848e-001 -1.6939e+000 -1.4786e+000 -1.6634e+000 +1.4705e+000 +2.3627e+000 -2.6598e-001
904 0 +5.874333891e+002 +7.031133891e+002 +7.031133891e+002 +1.9997e-002 +1.8450e+000 -1.7447e-001 +6.9780e-001 -6.3256e-001 +2.3863e-001 +1.4766e+000 +1.5613e+000 -2.4792e+000 -1.5216e+000 +3.6884e-001 -9.3079e-001 +1.4031e+000 -5.3695e-001 -2.6260e+000 -4.6960e-001 -1.1362e+000 +2.4360e+000 +3.3882e+000 +1.0899e-001
1576 0 +5.751138132e+002 +6.907938132e+002 +6.907938132e+002 -1.2957e+000 -9.1221e-001 -1.6162e+000 +2.0610e+000 -1.4204e-001 +1.0647e+000 +2.6790e+000 +2.0920e+000 -2.1385e+000 -2.7855e+000 -1.1685e+000 -5.1729e-003 +1.3710e+000 -8.8357e-002 -8.1164e-001 -1.5630e+000 -1.3061e+000 +3.4128e+000 +2.6204e+000 -4.3611e-001
1697 0 +5.580786109e+002 +6.737586109e+002 +6.737586109e+002 -3.1803e+000 -1.2102e+000 -2.5666e+000 +3.8474e+000 +1.3594e+000 +2.3419e+000 +2.2444e+000 +1.8997e+000 -6.4798e-001 -2.5392e+000 -1.3241e+000 +4.0473e-001 +2.9159e-001 -6.6448e-001 -6.0329e-001 -3.9062e-001 -1.4685e+000 +2.6875e+000 +2.6165e+000 -9.2628e-001
1732 0 +5.395987868e+002 +6.552787868e+002 +6.552787868e+002 -6.2325e-002 +7.1422e-001 -7.8522e-001 +1.1561e+000 -1.6892e-001 +1.2461e+000 +1.3795e+000 +1.8514e+000 -2.3250e+000 -2.1318e+000 -5.1116e-001 -3.8120e-001 +1.2682e+000 -6.8273e-003 -1.3414e+000 -1.0391e+000 -9.0773e-001 +3.1067e+000 +2.6586e+000 +2.5219e-001
3164 0 +4.620490843e+002 +5.777290843e+002 +5.777290843e+002 -1.2784e+000 -1.8563e-001 -2.4624e+000 +2.4753e+000 +4.2715e-001 +2.1226e+000 +1.2921e+000 +2.2836e+000 -7.3452e-001 -2.5802e+000 -3.4328e-001 +4.6044e-001 +9.3863e-001 -2.6867e-001 +3.5121e-001 -6.1411e-001 -4.4117e-001 +3.0822e+000 +2.2490e+000 -3.3232e-001
4058 0 +4.493665141e+002 +5.650465141e+002 +5.650465141e+002 +3.3461e-001 +2.0308e-001 -2.7519e+000 +2.3872e+000 +7.9995e-001 +1.2543e+000 +1.0055e+000 +2.0742e+000 +1.1196e+000 -1.9756e+000 +3.6251e-001 -9.7438e-001 +5.9265e-001 +2.8766e-001 -1.7125e-002 +9.4970e-001 +2.3480e-001 +3.0456e+000 +2.2645e+000 -7.1689e-001
4229 0 +4.042420871e+002 +5.199220871e+002 +5.199220871e+002 -1.7982e-001 +5.6646e-002 -2.6330e+000 +2.0526e+000 +5.9037e-001 +1.2509e+000 +9.0729e-001 +2.1943e+000 +5.6905e-001 -2.0336e+000 +2.2729e-002 -6.0564e-001 +7.8356e-001 +2.6200e-002 -3.0203e-001 +3.2512e-001 +1.7372e-001 +3.1061e+000 +2.2004e+000 -6.8745e-001
5158 0 +3.655147774e+002 +4.811947774e+002 +4.811947774e+002 +1.2020e-002 +4.2462e-001 -2.4976e+000 +2.6667e+000 +4.8924e-001 +1.7836e+000 +6.7862e-001 +1.8189e+000 +4.0786e-001 -2.5501e+000 +4.0435e-001 -7.6710e-001 +7.6478e-001 +8.3739e-002 +4.6958e-001 +4.2551e-001 +1.4615e-002 +2.8605e+000 +2.4216e+000 -8.2066e-001
9530 0 +3.604768592e+002 +4.761568592e+002 +4.761568592e+002 +2.2789e-002 +4.6802e-001 -2.4992e+000 +2.5794e+000 +5.0187e-001 +1.7829e+000 +6.2755e-001 +1.8595e+000 +3.8953e-001 -2.5363e+000 +3.9048e-001 -7.4577e-001 +8.0404e-001 +1.0641e-001 +4.1881e-001 +4.3653e-001 -6.9791e-003 +2.8261e+000 +2.4316e+000 -8.1486e-001
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.710000000000e+000) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.220277828e+002 +7.183177828e+002 +7.183177828e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
1120 0 +7.066090470e+002 +7.028990470e+002 +7.028990470e+002 -1.1384e-001 +2.6012e+000 -3.8832e+000 +1.3261e+000 +2.9177e+000 -1.8448e+000 -1.9794e+000 -9.6932e-001 -1.5044e+000 +2.3072e+000 +2.4731e+000 +1.8726e+000 -5.7775e-002 -1.4399e+000 +2.3758e-002 -2.1698e+000 -1.7041e+000 -7.7868e-001 +4.7527e-002 -3.7297e+000
1296 0 +6.711564286e+002 +6.674464286e+002 +6.674464286e+002 +9.7162e-001 +2.4197e+000 -3.9601e+000 -1.9648e+000 +2.6884e+000 -1.0154e+000 -1.2218e+000 -8.2635e-001 -1.3943e+000 +5.1229e+000 +3.2341e+000 -6.0985e-003 +1.8416e+000 -4.6353e+000 +4.2030e-001 -1.1402e+000 -7.1988e-001 +9.1215e-001 +5.5389e-001 -4.5018e+000
1620 0 +6.540936837e+002 +6.503836837e+002 +6.503836837e+002 +3.4766e-001 +2.3863e+000 -4.0137e+000 -2.3298e-001 +2.5920e+000 -1.6525e+000 -1.3708e+000 -8.9407e-001 -1.5325e+000 +3.5669e+000 +2.9587e+000 +7.9406e-001 +9.5478e-001 -2.7699e+000 -3.1329e-002 -1.7789e+000 -1.0982e+000 -1.7130e-001 +2.0791e-002 -3.2642e+000
1696 0 +6.329138983e+002 +6.292038983e+002 +6.292038983e+002 +9.6185e-001 +2.4350e+000 -3.9673e+000 -2.2496e+000 +2.4893e+000 -9.4014e-001 -1.0242e+000 -8.7883e-001 -1.2480e+000 +5.3390e+000 +3.2845e+000 -3.1636e-001 +1.9465e+000 -4.8804e+000 +5.0589e-001 -1.0474e+000 -6.2994e-001 +9.7803e-001 +6.4340e-001 -4.1686e+000
2179 0 +6.231049325e+002 +6.193949325e+002 +6.193949325e+002 +7.9675e-001 +2.3135e+000 -3.8652e+000 -1.8987e+000 +2.5733e+000 -8.7797e-001 -8.9830e-001 -9.5697e-001 -1.2875e+000 +5.2738e+000 +3.3981e+000 -2.1749e-001 +1.7431e+000 -4.6199e+000 +5.1813e-001 -1.0425e+000 -9.1534e-001 +8.2537e-001 +7.9842e-001 -2.8005e+000
2335 0 +5.640244461e+002 +5.603144461e+002 +5.603144461e+002 +1.2910e+000 -7.7602e-001 -1.3307e+000 +3.7625e-001 +2.5756e+000 -3.1171e-001 -3.3060e+000 +6.2769e-001 -4.1106e-001 +1.7920e-001 +2.1510e+000 +2.4972e+000 -1.0018e+000 +1.2052e+000 -5.6563e-001 -2.7169e+000 -3.6060e-001 +2.1746e+000 +2.1431e+000 -2.4923e+000
2489 0 +4.966263242e+002 +4.929163242e+002 +4.929163242e+002 +2.3256e+000 -2.5849e+000 -1.8441e-003 -2.3684e+000 +4.2242e-001 +1.8481e+000 -1.9792e+000 +1.8038e+000 +7.2856e-001 +1.7437e+000 +2.0806e+000 +3.1675e-001 +9.1452e-001 -2.7592e-001 +6.8891e-002 -1.0029e+000 +1.5256e+000 +4.7259e+000 +3.0288e+000 -2.0659e+000
3122 0 +4.516581314e+002 +4.479481314e+002 +4.479481314e+002 +2.0688e+000 -2.4189e+000 -1.7563e-001 -2.0282e+000 +3.0501e-001 +1.4311e+000 -2.0412e+000 +1.4451e+000 +9.5418e-001 +2.0295e+000 +2.3015e+000 +5.7847e-001 +8.9952e-001 -2.4599e-001 -5.0944e-002 -1.0920e+000 +1.2316e+000 +4.3514e+000 +3.1272e+000 -2.0796e+000
3389 0 +4.091297356e+002 +4.054197356e+002 +4.054197356e+002 +2.0075e+000 -2.5599e+000 -8.1043e-002 -2.0311e+000 +5.8728e-002 +1.4907e+000 -1.9432e+000 +1.3883e+000 +1.1344e+000 +2.1397e+000 +2.3694e+000 +5.2520e-001 +9.6898e-001 -2.3354e-001 -5.3379e-002 -9.5909e-001 +1.2181e+000 +4.4139e+000 +3.2405e+000 -2.1230e+000
4106 0 +4.056032061e+002 +4.018932061e+002 +4.018932061e+002 +2.0671e+000 -2.5760e+000 -2.7695e-002 -2.0820e+000 +6.2693e-002 +1.5113e+000 -1.9524e+000 +1.4276e+000 +1.1849e+000 +2.1087e+000 +2.3156e+000 +4.9405e-001 +9.6733e-001 -2.5778e-001 -3.9350e-002 -9.6348e-001 +1.2422e+000 +4.4598e+000 +3.2546e+000 -2.1100e+000
5004 0 +3.726535108e+002 +3.689435108e+002 +3.689435108e+002 +1.7068e+000 -1.2439e+000 -1.1633e+000 -1.5081e+000 +5.6481e-001 +5.3992e-001 -1.8953e+000 +3.9901e-001 +9.5416e-001 +2.5729e+000 +2.7152e+000 +5.3778e-001 +7.4798e-001 -5.3826e-001 -3.6440e-001 -1.6748e+000 +1.0188e+000 +3.0775e+000 +2.7979e+000 -1.9368e+000
8671 0 +3.577709311e+002 +3.540609311e+002 +3.540609311e+002 +1.4580e+000 -8.8782e-001 -1.4398e+000 -1.2707e+000 +2.8276e-001 +6.0724e-001 -1.8578e+000 +2.7381e-001 +5.2609e-001 +2.5307e+000 +2.6108e+000 +5.7265e-001 +9.4520e-001 -4.5018e-001 -7.0429e-001 -1.5201e+000 +8.3724e-001 +2.5761e+000 +3.2129e+000 -2.0191e+000
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.321800000000e+002) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.434976601e+002 +7.756776601e+002 +7.756776601e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
655 0 +5.880677530e+002 +7.202477530e+002 +7.202477530e+002 -2.9976e+000 +1.4324e-001 -6.3159e-001 -2.0238e+000 +5.4312e-001 -3.3164e+000 +1.7262e+000 +7.8026e-001 -1.6932e+000 -6.4362e-001 -2.2054e+000 +2.1414e+000 -1.6876e+000 +3.0480e+000 -1.7411e-001 +1.0563e+000 +5.7426e-001 +1.6762e+000 +1.5949e+000 -5.8763e-001
828 0 +5.006374821e+002 +6.328174821e+002 +6.328174821e+002 -3.2773e+000 +3.0089e-001 -9.7098e-001 -2.1705e+000 +4.4969e-002 -3.9949e+000 +1.5393e+000 +7.8898e-001 -2.0728e+000 +9.9044e-002 -1.2014e+000 +2.4193e+000 -1.5388e+000 +1.9886e+000 +2.3756e-003 +5.2605e-001 +3.5832e-001 +1.7590e+000 +4.3754e-001 -2.6838e-001
1194 0 +4.802036284e+002 +6.123836284e+002 +6.123836284e+002 -2.3748e+000 +8.8314e-001 -1.7546e-001 -2.1757e+000 +4.5123e-001 -3.2067e+000 +1.8468e+000 +1.5789e+000 -2.1748e+000 +3.6850e-001 -1.7537e+000 +2.0840e+000 -2.0187e+000 +2.4286e+000 +6.3412e-001 +4.6851e-001 +9.4611e-001 +2.0869e+000 +1.5344e+000 +2.7074e+000
1536 0 +4.667323350e+002 +5.989123350e+002 +5.989123350e+002 -1.4705e+000 +8.9247e-001 -2.1851e-002 -2.2197e+000 -2.4427e-001 -2.7177e+000 +1.0930e+000 +5.3016e-001 -1.6223e+000 +8.9687e-001 -1.6973e+000 +2.2503e+000 -2.3369e+000 +2.3744e+000 +1.2214e+000 +6.8650e-001 +1.4860e+000 +9.6185e-001 +1.3024e+000 +1.7864e+000
1871 0 +4.420464813e+002 +5.742264813e+002 +5.742264813e+002 -2.1642e+000 +6.3303e-001 +9.5079e-002 -1.7684e+000 +8.0465e-001 -3.2552e+000 +1.4990e+000 +1.3795e+000 -1.4496e+000 -1.8324e-001 -1.4433e+000 +1.0688e+000 -1.7044e+000 +2.2309e+000 +1.2872e+000 +5.6209e-001 +9.8734e-001 +2.1697e+000 +1.5704e+000 -4.7598e-002
1915 0 +3.912242657e+002 +5.234042657e+002 +5.234042657e+002 -2.5182e+000 +6.7931e-001 -2.5815e-001 -1.4130e+000 +1.1754e+000 -3.9194e+000 +1.7092e+000 +1.5471e+000 -1.0265e+000 -6.7720e-001 -8.9846e-001 +8.6008e-001 -1.9404e+000 +2.0733e+000 +1.4084e+000 +2.0209e-001 +7.9655e-001 +2.3192e+000 +1.4118e+000 -3.4277e-001
5547 0 +3.789776788e+002 +5.111576788e+002 +5.111576788e+002 -2.5125e+000 +6.8000e-001 -2.7919e-001 -1.4041e+000 +1.1823e+000 -3.8962e+000 +1.6795e+000 +1.5472e+000 -1.0115e+000 -6.8605e-001 -8.5420e-001 +8.5001e-001 -1.9240e+000 +2.0793e+000 +1.4019e+000 +2.2209e-001 +8.2777e-001 +2.3263e+000 +1.3584e+000 -3.2341e-001
7471 0 +3.701236720e+002 +5.023036720e+002 +5.023036720e+002 -2.5462e+000 +6.8234e-001 -3.1744e-001 -1.3739e+000 +1.2176e+000 -3.9608e+000 +1.6988e+000 +1.5634e+000 -9.7101e-001 -7.3303e-001 -7.9918e-001 +8.3155e-001 -1.9456e+000 +2.0685e+000 +1.4092e+000 +1.9195e-001 +8.1352e-001 +2.3433e+000 +1.3377e+000 -3.4916e-001
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.930000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.384810122e+002 +6.991810122e+002 +6.991810122e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
930 0 +6.839051867e+002 +6.446051867e+002 +6.446051867e+002 +1.8806e+000 -2.7101e+000 -2.2760e-001 +1.7761e+000 -6.7807e-001 -3.9056e+000 +3.9127e-001 +3.8969e+000 -1.5056e+000 +2.7700e-001 +1.0303e+000 -5.9074e-001 +3.7683e-001 +3.3942e+000 -1.2727e+000 -2.3254e+000 +6.1523e-001 +1.0578e+000 -5.1527e-001 -3.2723e+000
1012 0 +5.962880399e+002 +5.569880399e+002 +5.569880399e+002 +2.5694e+000 -2.7990e+000 +3.6390e-001 +1.9710e+000 -3.3628e-001 -3.7561e+000 +8.8302e-002 +3.9667e+000 -1.7629e+000 +1.4523e-001 +1.1850e+000 -7.4573e-001 +8.1617e-001 +3.2030e+000 -1.3060e+000 -1.9121e+000 +5.0537e-001 +1.2121e+000 -6.9099e-001 -3.5308e+000
2319 0 +5.840380236e+002 +5.447380236e+002 +5.447380236e+002 +2.6385e+000 -2.8475e+000 +3.5714e-001 +1.9837e+000 -3.5757e-001 -3.8123e+000 +1.0383e-001 +3.9595e+000 -1.7772e+000 +1.2669e-001 +1.1855e+000 -8.4118e-001 +8.0126e-001 +3.2190e+000 -1.3346e+000 -1.9714e+000 +4.9836e-001 +1.2177e+000 -6.5561e-001 -3.6352e+000
2530 0 +5.746274839e+002 +5.353274839e+002 +5.353274839e+002 +2.6236e+000 -2.8427e+000 +3.1158e-001 +1.9791e+000 -3.6616e-001 -3.9160e+000 +8.4857e-002 +3.9904e+000 -1.8272e+000 +1.7843e-001 +1.1650e+000 -6.9807e-001 +7.7022e-001 +3.3376e+000 -1.2119e+000 -1.9841e+000 +4.8983e-001 +1.1673e+000 -6.2590e-001 -3.6081e+000
6710 0 +5.303988262e+002 +4.910988262e+002 +4.910988262e+002 +2.7293e+000 -2.3583e+000 +3.3319e+000 +4.7650e+000 -1.1513e+000 -1.9549e+000 -4.4622e-001 +1.3818e+000 -1.2845e-001 -1.4337e+000 +9.9110e-001 -6.9239e-001 +8.7947e-001 +3.6100e-001 +1.8363e+000 -8.4316e-001 -7.3336e-001 +2.4525e+000 -8.8035e-001 -5.0000e+000
6819 0 +4.758649309e+002 +4.365649309e+002 +4.365649309e+002 +2.6310e+000 -2.4339e+000 +2.5346e+000 +4.0853e+000 -9.5525e-001 -2.4081e+000 -3.3476e-001 +1.9936e+000 -5.2740e-001 -1.0751e+000 +1.0375e+000 -6.5194e-001 +8.2344e-001 +1.0871e+000 +1.0837e+000 -1.1030e+000 -4.1590e-001 +2.0842e+000 -8.5055e-001 -4.6321e+000
7120 0 +4.668584355e+002 +4.275584355e+002 +4.275584355e+002 +2.1879e+000 -1.1554e+000 +2.9809e+000 +4.2346e+000 -7.4209e-001 -1.6982e+000 +7.7538e-003 +1.1513e+000 -4.9016e-001 -1.8723e+000 +6.4056e-001 -7.3019e-001 +5.3957e-001 +6.4577e-003 +1.6900e+000 -8.9525e-001 -5.7301e-001 +1.9240e+000 -5.9704e-001 -4.8130e+000
7128 0 +4.354881296e+002 +3.961881296e+002 +3.961881296e+002 +2.0484e+000 -7.9904e-001 +2.3342e+000 +3.4413e+000 -3.8053e-001 -1.9733e+000 +3.1814e-001 +1.6425e+000 -1.0119e+000 -1.6794e+000 +5.6558e-001 -8.3751e-001 +4.4166e-001 +4.3056e-001 +9.6132e-001 -1.1055e+000 -2.8447e-001 +1.5314e+000 -4.1647e-001 -4.4182e+000
9920 0 +3.898508317e+002 +3.505508317e+002 +3.505508317e+002 +1.6428e+000 +7.6002e-001 +2.2226e+000 +2.8506e+000 +3.3214e-001 -1.7141e+000 +1.1330e+000 +1.3844e+000 -1.5474e+000 -2.2869e+000 -2.0752e-001 -7.9483e-001 +1.5862e-001 -1.6629e-002 +1.3370e+000 -1.0884e+000 -4.1620e-001 +8.9865e-001 +1.2978e-001 -3.7221e+000
