% f evaluations | g evaluations | best noise-free fitness - Fopt (2.997000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.202573670e+002 +7.502273670e+002 +7.502273670e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000
3 0 +2.968645317e+002 +3.268345317e+002 +3.268345317e+002 +5.8362e-002 -3.0338e+000 -2.1371e+000
10 0 +2.733838295e+002 +3.033538295e+002 +3.033538295e+002 -1.9734e-001 +1.7891e+000 -4.5535e+000
43 0 +2.679383374e+002 +2.979083374e+002 +2.979083374e+002 +2.2741e+000 -3.1697e+000 -7.8337e-001
51 0 +2.422828964e+002 +2.722528964e+002 +2.722528964e+002 -1.8963e-002 -2.9817e+000 -3.4260e+000
112 0 +1.324619737e+002 +1.624319737e+002 +1.624319737e+002 -3.4844e-001 -1.1174e+000 -4.3941e+000
212 0 +1.042032200e+002 +1.341732200e+002 +1.341732200e+002 +4.2747e-001 -1.7556e-001 -5.0000e+000
347 0 +5.306757834e+001 +8.303757834e+001 +8.303757834e+001 -2.6946e-001 +9.0918e-002 -5.0000e+000
370 0 +4.913259426e+001 +7.910259426e+001 +7.910259426e+001 -2.8691e-001 +2.7458e-002 -5.0000e+000
505 0 +4.513369450e+001 +7.510369450e+001 +7.510369450e+001 -2.2688e-002 -4.1867e-001 -5.0000e+000
643 0 +4.439941232e+001 +7.436941232e+001 +7.436941232e+001 -5.2061e-002 -7.0641e-002 -5.0000e+000
658 0 +2.734003316e+001 +5.731003316e+001 +5.731003316e+001 -1.8012e-001 -1.7271e-001 -5.0000e+000
770 0 +2.587772187e+001 +5.584772187e+001 +5.584772187e+001 -1.5658e-001 -2.1454e-001 -5.0000e+000
970 0 +2.487633559e+001 +5.484633559e+001 +5.484633559e+001 -1.4799e-001 -2.1464e-001 -5.0000e+000
1270 0 +2.434080477e+001 +5.431080477e+001 +5.431080477e+001 -1.3792e-001 -2.1476e-001 -5.0000e+000
1465 0 +2.349943636e+001 +5.346943636e+001 +5.346943636e+001 -1.3830e-001 -2.0579e-001 -5.0000e+000
1585 0 +2.342648395e+001 +5.339648395e+001 +5.339648395e+001 -1.3539e-001 -1.9454e-001 -5.0000e+000
1701 0 +2.262206472e+001 +5.259206472e+001 +5.259206472e+001 -1.4151e-001 -1.9344e-001 -5.0000e+000
1861 0 +2.228223673e+001 +5.225223673e+001 +5.225223673e+001 -1.4778e-001 -1.9097e-001 -5.0000e+000
% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.171000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.345492948e+002 +8.828392948e+002 +8.828392948e+002 +0.0000e+000 +0.0000e+000 +0.0000e+000
2 0 +1.482319722e+002 +9.652197224e+001 +9.652197224e+001 +1.4406e+000 +2.9863e+000 -2.8926e+000
38 0 +8.957528209e+001 +3.786528209e+001 +3.786528209e+001 +4.7492e+000 +1.8701e+000 -3.1826e+000
218 0 +8.492330422e+001 +3.321330422e+001 +3.321330422e+001 +5.8490e+000 +1.9249e+000 -2.9708e+000
309 0 +5.602503430e+001 +4.315034304e+000 +4.315034304e+000 +4.3783e+000 +2.2076e+000 -3.2908e+000
523 0 +3.367204423e+001 -1.803795577e+001 -1.803795577e+001 +3.8421e-001 +4.0397e+000 -3.6176e+000
834 0 +3.117932302e+001 -2.053067698e+001 -2.053067698e+001 +2.7405e-001 +4.0861e+000 -3.5433e+000
1014 0 +2.815435010e+001 -2.355564990e+001 -2.355564990e+001 +5.7260e-001 +4.0961e+000 -3.7137e+000
1022 0 +3.591055089e+000 -4.811894491e+001 -4.811894491e+001 +1.6002e+000 +3.5916e+000 -3.4681e+000
1275 0 +1.687982065e+000 -5.002201794e+001 -5.002201794e+001 +1.7067e+000 +3.5386e+000 -3.4617e+000
2238 0 +1.622690559e+000 -5.008730944e+001 -5.008730944e+001 +1.7098e+000 +3.5377e+000 -3.4609e+000
2416 0 +1.473834692e+000 -5.023616531e+001 -5.023616531e+001 +1.7071e+000 +3.5401e+000 -3.4621e+000
2575 0 +1.409263021e+000 -5.030073698e+001 -5.030073698e+001 +1.7027e+000 +3.5418e+000 -3.4630e+000
3077 0 +1.378332782e+000 -5.033166722e+001 -5.033166722e+001 +1.7018e+000 +3.5425e+000 -3.4632e+000
7704 0 +1.348515658e+000 -5.036148434e+001 -5.036148434e+001 +1.7037e+000 +3.5417e+000 -3.4632e+000
8205 0 +1.317939550e+000 -5.039206045e+001 -5.039206045e+001 +1.7147e+000 +3.5367e+000 -3.4619e+000
8405 0 +1.280797831e+000 -5.042920217e+001 -5.042920217e+001 +1.7291e+000 +3.5302e+000 -3.4603e+000
8502 0 +1.241463743e+000 -5.046853626e+001 -5.046853626e+001 +1.7454e+000 +3.5226e+000 -3.4584e+000
8552 0 +1.224744625e+000 -5.048525537e+001 -5.048525537e+001 +1.7526e+000 +3.5194e+000 -3.4576e+000
8608 0 +1.195097289e+000 -5.051490271e+001 -5.051490271e+001 +1.7700e+000 +3.5114e+000 -3.4556e+000
8702 0 +1.153677598e+000 -5.055632240e+001 -5.055632240e+001 +1.7836e+000 +3.5052e+000 -3.4541e+000
8705 0 +1.131325749e+000 -5.057867425e+001 -5.057867425e+001 +1.7957e+000 +3.4997e+000 -3.4527e+000
8714 0 +1.108275082e+000 -5.060172492e+001 -5.060172492e+001 +1.8039e+000 +3.4959e+000 -3.4518e+000
8802 0 +1.090994694e+000 -5.061900531e+001 -5.061900531e+001 +1.8014e+000 +3.4972e+000 -3.4522e+000
