% f evaluations | g evaluations | best noise-free fitness - Fopt (7.627000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +5.445689776e+006 +5.445766046e+006 +5.445766046e+006 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000 +0.0000e+000
4 0 +4.793049931e+006 +4.793126201e+006 +4.793126201e+006 -1.5572e+000 -4.8731e+000 -2.6593e+000 -2.9945e+000 +3.6216e+000
5 0 +8.747330820e+005 +8.748093520e+005 +8.748093520e+005 +2.0931e+000 -6.8350e-001 -4.3726e+000 -4.7461e+000 -2.7423e+000
9 0 +1.562357944e+005 +1.563120644e+005 +1.563120644e+005 -3.6895e+000 -1.8200e+000 +4.4078e+000 +1.3217e+000 +1.4982e+000
14 0 +1.169530332e+005 +1.170293032e+005 +1.170293032e+005 -1.1624e+000 -2.1339e+000 +2.7648e-001 -4.6983e-001 -4.9574e+000
26 0 +1.975949703e+003 +2.052219703e+003 +2.052219703e+003 +4.5682e+000 -2.4841e+000 -3.0304e+000 -3.4312e+000 -6.2194e-001
67 0 +6.096221006e+002 +6.858921006e+002 +6.858921006e+002 -4.5437e+000 -6.5497e-001 +3.9391e+000 +8.7857e-001 -4.3692e+000
74 0 +3.845515005e+002 +4.608215005e+002 +4.608215005e+002 +1.3428e+000 +4.7961e-001 +3.0537e+000 -4.6892e+000 +3.5880e+000
79 0 +3.962865666e+001 +1.158986567e+002 +1.158986567e+002 -8.6780e-001 -2.0139e+000 -3.1607e+000 -3.6529e+000 +2.2372e+000
656 0 +1.453143954e+001 +9.080143954e+001 +9.080143954e+001 -5.5222e-001 -4.1954e+000 -3.8101e+000 +7.1753e-001 -2.3115e+000
697 0 +9.835240422e+000 +8.610524042e+001 +8.610524042e+001 -1.9257e+000 -3.6610e+000 -3.4497e+000 +2.2537e-001 -1.8881e+000
821 0 +7.602158886e+000 +8.387215889e+001 +8.387215889e+001 -1.6878e+000 -3.4229e+000 -3.3883e+000 -3.7184e-001 -1.1233e+000
1275 0 +7.228305410e+000 +8.349830541e+001 +8.349830541e+001 -1.4442e+000 -3.4342e+000 -3.2667e+000 -3.7740e-001 -8.0766e-001
1644 0 +6.349717134e+000 +8.261971713e+001 +8.261971713e+001 -1.8977e+000 -3.5261e+000 -3.3654e+000 -5.9523e-002 -1.4246e+000
1651 0 +4.269400721e+000 +8.053940072e+001 +8.053940072e+001 -3.7909e-001 -3.4001e+000 -1.2197e+000 +6.0569e-001 +8.0248e-002
1915 0 +4.255450044e+000 +8.052545004e+001 +8.052545004e+001 -1.5715e+000 -3.6577e+000 -2.9440e+000 +4.1060e-001 -1.4171e+000
1925 0 +3.417515016e+000 +7.968751502e+001 +7.968751502e+001 -6.8898e-001 -3.4103e+000 -1.8174e+000 +3.2688e-001 -2.1612e-001
1941 0 +3.361304047e+000 +7.963130405e+001 +7.963130405e+001 -6.3268e-001 -3.2810e+000 -1.7402e+000 +1.1106e-001 -1.5640e-001
2035 0 +1.079622113e+000 +7.734962211e+001 +7.734962211e+001 -1.3030e+000 -3.5440e+000 -2.0269e+000 +7.9790e-001 -1.5149e+000
2159 0 +1.045101286e+000 +7.731510129e+001 +7.731510129e+001 -1.1065e+000 -3.5098e+000 -1.8505e+000 +7.5337e-001 -1.1705e+000
2219 0 +8.780226765e-001 +7.714802268e+001 +7.714802268e+001 -1.0014e+000 -3.5598e+000 -1.8139e+000 +8.5309e-001 -1.2103e+000
2235 0 +8.220374683e-001 +7.709203747e+001 +7.709203747e+001 -1.1445e+000 -3.5190e+000 -1.8939e+000 +7.5889e-001 -1.2384e+000
2259 0 +8.049201368e-001 +7.707492014e+001 +7.707492014e+001 -1.3077e+000 -3.4978e+000 -1.9462e+000 +7.5399e-001 -1.4345e+000
2356 0 +6.097779482e-001 +7.687977795e+001 +7.687977795e+001 -1.1742e+000 -3.4690e+000 -1.7478e+000 +7.7618e-001 -1.2414e+000
2541 0 +5.594266758e-001 +7.682942668e+001 +7.682942668e+001 -1.1979e+000 -3.4944e+000 -1.6627e+000 +9.0406e-001 -1.3204e+000
2919 0 +5.466327083e-001 +7.681663271e+001 +7.681663271e+001 -1.2064e+000 -3.5004e+000 -1.6431e+000 +9.3889e-001 -1.3651e+000
2999 0 +5.353267493e-001 +7.680532675e+001 +7.680532675e+001 -1.1647e+000 -3.4777e+000 -1.5262e+000 +9.6030e-001 -1.3145e+000
3456 0 +5.215281757e-001 +7.679152818e+001 +7.679152818e+001 -1.1954e+000 -3.4750e+000 -1.6100e+000 +9.1111e-001 -1.3629e+000
3755 0 +5.120076571e-001 +7.678200766e+001 +7.678200766e+001 -1.1915e+000 -3.4606e+000 -1.6001e+000 +8.9213e-001 -1.3762e+000
4019 0 +4.989384797e-001 +7.676893848e+001 +7.676893848e+001 -1.1861e+000 -3.4409e+000 -1.5667e+000 +8.8317e-001 -1.4138e+000
4105 0 +4.806989686e-001 +7.675069897e+001 +7.675069897e+001 -9.9608e-001 -3.4017e+000 -1.6246e+000 +7.0598e-001 -1.3252e+000
4113 0 +4.781403718e-001 +7.674814037e+001 +7.674814037e+001 -1.0516e+000 -3.4160e+000 -1.6007e+000 +7.6767e-001 -1.3489e+000
4119 0 +4.640598417e-001 +7.673405984e+001 +7.673405984e+001 -1.0202e+000 -3.4014e+000 -1.6084e+000 +7.2608e-001 -1.3444e+000
