% f evaluations | g evaluations | best noise-free fitness - Fopt (1.491500000000e+002) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
3 0 +9.741614457e+000 +4.726161446e+001 +4.726161446e+001 +3.0442e-001 -1.7864e+000
78 0 +9.392065655e-001 +3.845920657e+001 +3.845920657e+001 +2.5403e+000 -1.9628e+000
305 0 +5.053024855e-001 +3.802530249e+001 +3.802530249e+001 +1.9506e+000 -2.8033e+000
399 0 +1.757632185e-001 +3.769576322e+001 +3.769576322e+001 +2.2937e+000 -2.2862e+000
954 0 +8.485679941e-002 +3.760485680e+001 +3.760485680e+001 +2.7648e+000 -1.3343e+000
1500 0 +1.828119821e-002 +3.753828120e+001 +3.753828120e+001 +2.3632e+000 -2.2021e+000
2911 0 +8.252241591e-004 +3.752082522e+001 +3.752082522e+001 +2.5053e+000 -1.9408e+000
10094 0 +3.874329632e-004 +3.752038743e+001 +3.752038743e+001 +2.5012e+000 -1.9450e+000
% f evaluations | g evaluations | best noise-free fitness - Fopt (6.740000000000e+000) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.626381579e+001 +5.300381579e+001 +5.300381579e+001 +0.0000e+000 +0.0000e+000
40 0 +3.145937459e+001 +3.819937459e+001 +3.819937459e+001 +1.1134e+000 +2.0988e+000
41 0 +1.236928737e+001 +1.910928737e+001 +1.910928737e+001 -1.0982e+000 +1.9740e+000
84 0 +1.137690698e+001 +1.811690698e+001 +1.811690698e+001 +1.3884e+000 +1.7975e+000
85 0 +3.194389848e+000 +9.934389848e+000 +9.934389848e+000 -4.0128e-001 +8.7942e-001
108 0 +2.404380933e+000 +9.144380933e+000 +9.144380933e+000 +2.2273e+000 +5.0000e+000
148 0 +2.190264108e+000 +8.930264108e+000 +8.930264108e+000 +6.2441e-001 +9.8912e-001
246 0 +5.300860029e-001 +7.270086003e+000 +7.270086003e+000 +1.8951e+000 +3.6287e+000
521 0 +4.225641788e-001 +7.162564179e+000 +7.162564179e+000 +9.5646e-001 +1.2039e+000
610 0 +7.068684725e-002 +6.810686847e+000 +6.810686847e+000 +9.3343e-001 +1.2169e+000
2323 0 +6.624374444e-002 +6.806243744e+000 +6.806243744e+000 +1.3276e+000 +2.0093e+000
3540 0 +3.110422136e-002 +6.771104221e+000 +6.771104221e+000 +1.1561e+000 +1.6029e+000
4918 0 +4.926328855e-003 +6.744926329e+000 +6.744926329e+000 +1.1426e+000 +1.5874e+000
6018 0 +1.457446806e-003 +6.741457447e+000 +6.741457447e+000 +1.1685e+000 +1.6490e+000
6618 0 +4.716455498e-004 +6.740471646e+000 +6.740471646e+000 +1.1542e+000 +1.6150e+000
6718 0 +6.784473386e-005 +6.740067845e+000 +6.740067845e+000 +1.1594e+000 +1.6273e+000
7418 0 +6.657668319e-005 +6.740066577e+000 +6.740066577e+000 +1.1591e+000 +1.6267e+000
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.897900000000e+002) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.875450827e+003 +1.685660827e+003 +1.685660827e+003 +0.0000e+000 +0.0000e+000
3 0 +9.765961829e+001 -9.213038171e+001 -9.213038171e+001 -5.0798e-001 +1.8331e+000
16 0 +1.567956128e+001 -1.741104387e+002 -1.741104387e+002 -2.5147e+000 +1.5527e+000
64 0 +1.297311684e+001 -1.768168832e+002 -1.768168832e+002 -2.1447e+000 +1.1380e+000
65 0 +4.279801660e+000 -1.855101983e+002 -1.855101983e+002 -2.6804e+000 +2.1196e+000
120 0 +3.352259884e+000 -1.864377401e+002 -1.864377401e+002 +1.4076e-001 +5.0000e+000
361 0 +1.973567846e-001 -1.895926432e+002 -1.895926432e+002 -1.1771e+000 +1.6287e+000
1080 0 +5.243069275e-002 -1.897375693e+002 -1.897375693e+002 -8.5088e-001 +2.0743e+000
2403 0 +4.065999998e-002 -1.897493400e+002 -1.897493400e+002 -8.8940e-001 +2.0139e+000
2935 0 +4.333444336e-003 -1.897856666e+002 -1.897856666e+002 -7.7947e-001 +2.2211e+000
9123 0 +3.422953054e-003 -1.897865770e+002 -1.897865770e+002 -7.4937e-001 +2.2907e+000
9380 0 +2.877020516e-003 -1.897871230e+002 -1.897871230e+002 -7.9283e-001 +2.2007e+000
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.774000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.076835731e+003 +1.049095731e+003 +1.049095731e+003 +0.0000e+000 +0.0000e+000
6 0 +2.117716520e+002 +1.840316520e+002 +1.840316520e+002 -2.6130e+000 +3.2160e+000
12 0 +1.154002292e+001 -1.619997708e+001 -1.619997708e+001 -1.1517e+000 -2.4381e+000
16 0 +5.993592547e+000 -2.174640745e+001 -2.174640745e+001 +2.1982e-001 -2.8447e+000
79 0 +2.995858781e+000 -2.474414122e+001 -2.474414122e+001 +3.1283e-001 -3.1431e+000
232 0 +1.907171322e+000 -2.583282868e+001 -2.583282868e+001 +1.2358e+000 -1.0524e+000
318 0 +1.810273324e+000 -2.592972668e+001 -2.592972668e+001 -3.5301e-001 -3.3045e+000
467 0 +3.266927511e-001 -2.741330725e+001 -2.741330725e+001 +8.9583e-001 -1.8265e+000
821 0 +1.209780334e-001 -2.761902197e+001 -2.761902197e+001 +3.2172e-001 -2.9674e+000
1613 0 +6.083521816e-002 -2.767916478e+001 -2.767916478e+001 +4.5783e-001 -2.7782e+000
3150 0 +8.862591946e-003 -2.773113741e+001 -2.773113741e+001 +6.9122e-001 -2.3314e+000
3650 0 +4.894959325e-003 -2.773510504e+001 -2.773510504e+001 +6.8586e-001 -2.3582e+000
5577 0 +4.712062455e-003 -2.773528794e+001 -2.773528794e+001 +5.9754e-001 -2.5229e+000
7291 0 +2.873943550e-003 -2.773712606e+001 -2.773712606e+001 +6.1293e-001 -2.4939e+000
8328 0 +4.760547204e-004 -2.773952395e+001 -2.773952395e+001 +6.4367e-001 -2.4356e+000
% f evaluations | g evaluations | best noise-free fitness - Fopt (6.930000000000e+000) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
