% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.694000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
924 0 +1.194734231e+001 +4.936573423e+002 +4.936573423e+002
1070 0 +9.122258652e+000 +4.908322587e+002 +4.908322587e+002
1320 0 +8.673279977e+000 +4.903832800e+002 +4.903832800e+002
2476 0 +7.767571648e+000 +4.894775716e+002 +4.894775716e+002
4411 0 +7.154973991e+000 +4.888649740e+002 +4.888649740e+002
5576 0 +6.484425036e+000 +4.881944250e+002 +4.881944250e+002
6376 0 +6.190075226e+000 +4.879000752e+002 +4.879000752e+002
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.646000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.455013932e+001 -2.190986068e+001 -2.190986068e+001
228 0 +1.282561900e+001 -2.363438100e+001 -2.363438100e+001
655 0 +1.114891973e+001 -2.531108027e+001 -2.531108027e+001
886 0 +1.092112206e+001 -2.553887794e+001 -2.553887794e+001
1146 0 +1.010733394e+001 -2.635266606e+001 -2.635266606e+001
2480 0 +9.470604656e+000 -2.698939534e+001 -2.698939534e+001
3273 0 +8.963821207e+000 -2.749617879e+001 -2.749617879e+001
3818 0 +8.855704175e+000 -2.760429583e+001 -2.760429583e+001
5472 0 +8.141690871e+000 -2.831830913e+001 -2.831830913e+001
5715 0 +7.996469254e+000 -2.846353075e+001 -2.846353075e+001
8289 0 +7.838205827e+000 -2.862179417e+001 -2.862179417e+001
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.920000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.368496114e+001 +5.288496114e+001 +5.288496114e+001
447 0 +1.315231769e+001 +5.235231769e+001 +5.235231769e+001
944 0 +1.108358278e+001 +5.028358278e+001 +5.028358278e+001
1044 0 +1.054735021e+001 +4.974735021e+001 +4.974735021e+001
1244 0 +1.022479675e+001 +4.942479675e+001 +4.942479675e+001
4670 0 +8.777970914e+000 +4.797797091e+001 +4.797797091e+001
5390 0 +8.641835339e+000 +4.784183534e+001 +4.784183534e+001
9063 0 +8.312790866e+000 +4.751279087e+001 +4.751279087e+001
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.225000000000e+001) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.511259108e+001 -1.713740892e+001 -1.713740892e+001
783 0 +1.320418748e+001 -1.904581252e+001 -1.904581252e+001
1023 0 +1.209028412e+001 -2.015971588e+001 -2.015971588e+001
3370 0 +1.197848314e+001 -2.027151686e+001 -2.027151686e+001
3455 0 +1.170210897e+001 -2.054789103e+001 -2.054789103e+001
3801 0 +1.085242960e+001 -2.139757040e+001 -2.139757040e+001
5901 0 +1.015663203e+001 -2.209336797e+001 -2.209336797e+001
7501 0 +9.960476352e+000 -2.228952365e+001 -2.228952365e+001
